"ID","StoreOpenYear","YearsSinceRemodel","Cluster","RecommendedServices"
"1860","2003","12.0","2","Mobile, Kiosk, &"
"2460","2008","12.0","2","&"
"2335","2007","8.0","2",""
"2516","2009","8.0","2",""
"1231","1999","15.0","2","Mobile, Kiosk, Starbucks"
"2142","2006","8.0","2",""
"2550","2009","","2",""
"2338","2007","8.0","2",""
"2448","2008","12.0","1","Mobile, Kiosk, Fresh, Grocery"
"1065","1997","8.0","2","CVS, pharmacy"
"67","1978","15.0","2","Mobile, Kiosk"
"1763","2000","8.0","2",""
"1489","2003","","2",""
"2234","2007","","2",""
"1944","2004","","2","&"
"1764","2000","8.0","2",""
"1430","2002","","2",""
"1775","2000","8.0","2",""
"2520","2009","8.0","2",""
"2145","2006","8.0","2",""
"1538","2003","18.0","0","Fresh, Grocery, Mobile, Kiosk, Starbucks"
"2572","2009","8.0","2",""
"13","1969","15.0","2","Mobile, Kiosk, Starbucks"
"1850","2003","8.0","2","Mobile, Kiosk"
"1784","2001","8.0","2",""
"1395","2002","23.0","2",""
"1943","2004","13.0","1","Available, Beer"
"55","1977","8.0","2",""
"1842","2003","13.0","1","Mobile, Kiosk, Available, Beer"
"1543","2003","13.0","1","Mobile, Kiosk, Available, Beer"
"1517","2003","8.0","2",""
"1840","2003","8.0","2","Mobile, Kiosk"
"947","1994","8.0","2",""
"1945","2004","","2","&"
"1757","1997","11.0","2","&"
"875","1993","9.0","2","Starbucks"
"1392","2002","7.0","2",""
"1756","1997","13.0","2","&"
"1032","1998","9.0","2","Starbucks"
"2043","2005","13.0","1","Available, Beer"
"752","1995","19.0","0","Fresh, Grocery"
"1436","2002","13.0","0",""
"876","1993","8.0","2","Mobile, Kiosk"
"255","1987","14.0","2","CVS, pharmacy, Mobile, Kiosk, Starbucks"
"531","1995","","2","&"
"2525","2009","","0","Mobile, Kiosk"
"1487","2002","13.0","1","CafePizza, Available, Beer"
"1759","1998","8.0","2","&"
"1368","2001","8.0","2",""
"1201","1999","13.0","0","Starbucks"
"1514","2003","8.0","2",""
"2334","2008","15.0","1",""
"2739","2013","","1",""
"239","1986","12.0","3",""
"2255","2007","14.0","0","Mobile, Kiosk"
"1388","2001","18.0","3","Mobile, Kiosk, Fresh, Grocery"
"2222","2006","13.0","1",""
"1455","2002","","2",""
"1177","1999","13.0","0","Mobile, Kiosk"
"2423","2008","13.0","0",""
"1278","2000","14.0","0",""
"1314","2001","14.0","3",""
"2345","2007","14.0","0","Mobile, Kiosk"
"26","1971","14.0","3",""
"2103","2006","14.0","0","Mobile, Kiosk"
"1353","2002","14.0","0",""
"1952","2008","14.0","0",""
"1241","1999","14.0","3",""
"1509","2002","14.0","3",""
"1035","1996","14.0","3",""
"1279","2000","14.0","3",""
"1280","2000","14.0","3","Beer, Available, Wine"
"1102","1998","16.0","0",""
"1515","2005","14.0","1","Available, Beer"
"355","1989","13.0","3","CVS, pharmacy, Beer, Available, Wine"
"12","1969","14.0","0","CVS, pharmacy"
"2330","2007","14.0","0",""
"1101","1997","14.0","3","CVS, pharmacy"
"2414","2008","14.0","0",""
"1539","2003","14.0","0",""
"953","1995","8.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery"
"1836","2003","","2",""
"1962","2005","8.0","2",""
"1116","1998","14.0","2","CVS, pharmacy, Mobile, Kiosk, Starbucks"
"2243","2007","","2",""
"1766","2000","8.0","2",""
"758","1995","14.0","2","CVS, pharmacy, Mobile, Kiosk, Starbucks"
"1339","2001","9.0","2",""
"1765","2000","8.0","2",""
"1536","2003","8.0","2",""
"2754","2015","","2",""
"2042","2005","8.0","2",""
"2008","2005","8.0","2",""
"2425","2008","14.0","2","Mobile, Kiosk"
"1770","2000","8.0","2",""
"1922","2004","8.0","2",""
"1981","2005","8.0","2","Mobile, Kiosk"
"2533","2009","","1","Mobile, Kiosk"
"1531","2003","11.0","2",""
"2428","2008","11.0","2",""
"1115","1998","7.0","2","CVS, pharmacy"
"158","1982","11.0","2",""
"1399","2002","19.0","2","Fresh, Grocery, Starbucks"
"800","1992","11.0","2",""
"733","1996","7.0","0","CVS, pharmacy"
"78","1979","14.0","3","CVS, pharmacy"
"80","1980","7.0","2","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk"
"1877","2004","","2","Fresh, Grocery"
"2356","2008","14.0","2",""
"684","1991","14.0","2","Starbucks"
"2389","2008","","2",""
"1457","2002","7.0","2",""
"2865","2017","","2","Beer, Available, &"
"1458","2002","","2",""
"1904","2004","14.0","1",""
"1977","2005","","0","Fresh, Grocery"
"1821","2003","13.0","3","Beer, Available, Wine"
"854","1993","14.0","1",""
"1316","2001","14.0","3",""
"2140","2009","16.0","2",""
"700","1999","14.0","3",""
"1439","2004","14.0","1",""
"179","1983","14.0","1","Starbucks"
"855","1993","14.0","1","Starbucks"
"1863","2004","14.0","1",""
"2747","2011","14.0","0",""
"1960","2005","","2",""
"1838","2003","14.0","1",""
"2365","2008","","2",""
"909","1994","14.0","0","Starbucks"
"1209","1999","14.0","3",""
"1959","2005","","2",""
"1905","2004","14.0","0",""
"319","1987","14.0","0","Starbucks"
"1429","2004","14.0","0","Mobile, Kiosk"
"251","1986","14.0","1","Starbucks, Mobile, Kiosk"
"639","1993","14.0","0",""
"2149","2006","14.0","0","Mobile, Kiosk"
"2176","2007","14.0","1",""
"2400","2008","","2","Mobile, Kiosk"
"950","1995","14.0","0",""
"851","1993","20.0","0","Fresh, Grocery, Mobile, Kiosk"
"1242","1999","14.0","3",""
"1386","2001","14.0","3",""
"3261","2017","","1","CafePizza"
"2354","2007","","2",""
"363","1989","8.0","3","Beer, Available, Wine"
"1361","2001","14.0","3",""
"2341","2007","14.0","1",""
"233","1985","14.0","0",""
"1432","2002","14.0","1","Mobile, Kiosk, CafePizza"
"936","1994","14.0","1",""
"2236","2007","18.0","2",""
"825","1992","14.0","0",""
"1335","2001","14.0","3",""
"1141","1998","14.0","3",""
"1360","2001","14.0","0","Starbucks"
"2227","2007","","2",""
"735","1996","13.0","1","Available, Beer"
"1327","2001","14.0","0",""
"2083","2005","13.0","1",""
"884","1994","","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk, Beer, Available, Starbucks, Wine"
"1816","2003","13.0","0","Mobile, Kiosk"
"935","1994","14.0","1",""
"625","1990","14.0","1","Available, Beer"
"2813","2013","","1","Available, Beer"
"357","1988","14.0","1","Available, Beer"
"1117","1998","21.0","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk, Beer, Available, Starbucks, Wine"
"2031","2005","14.0","1","Available, Beer"
"356","1988","14.0","1","Available, Beer"
"769","1997","13.0","3","CVS, pharmacy, Mobile, Kiosk, Beer, Available, Wine"
"822","1992","13.0","1","Starbucks"
"952","1995","13.0","1","Available, Beer"
"849","1993","13.0","1","CVS, pharmacy, Starbucks"
"1034","1997","12.0","3","CVS, pharmacy, Beer, Available, Wine"
"823","1992","13.0","3",""
"2216","2006","","2",""
"2368","2008","","1","Mobile, Kiosk, Fresh, Grocery"
"2404","2008","12.0","0",""
"680","1991","12.0","0","Starbucks"
"2568","2009","","0",""
"1171","1999","12.0","0","Starbucks"
"264","1987","17.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery"
"265","1987","12.0","0",""
"2164","2006","12.0","0",""
"2497","2009","","0","Fresh, Grocery, Mobile, Kiosk"
"850","1993","17.0","3","Mobile, Kiosk, Fresh, Grocery"
"1357","2001","7.0","1","CafePizza, Available, Beer"
"2569","2009","","0","Mobile, Kiosk"
"826","1992","12.0","0",""
"1207","1999","8.0","0",""
"1524","2003","12.0","0","Starbucks"
"1462","2002","12.0","3",""
"1867","2004","14.0","0",""
"940","1995","14.0","0",""
"307","1987","14.0","3",""
"2260","2007","","2",""
"939","1994","14.0","0",""
"2468","2008","","2",""
"297","1987","24.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery"
"1869","2004","14.0","0",""
"761","1995","14.0","0",""
"2309","2007","","2",""
"188","1983","14.0","0","Starbucks"
"1843","2003","7.0","0",""
"1958","2005","14.0","0",""
"2471","2008","17.0","2",""
"660","1992","14.0","0",""
"291","1987","14.0","0",""
"2499","2009","","2",""
"93","1980","11.0","1","Available, Beer"
"2343","2007","","3","Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"1754","1997","13.0","2","&"
"1814","2003","7.0","1","CafePizza, Available, Beer"
"359","1989","14.0","0","Starbucks"
"1283","2000","13.0","0","Fresh, Grocery, Starbucks"
