"ID","StoreOpenYear","YearsSinceRemodel","Cluster","RecommendedServices"
"1372","2001","14.0","2","&"
"2197","2006","","2","&"
"2183","2006","","2","&"
"1769","2000","14.0","2","&"
"64","1978","15.0","1",""
"2218","2006","19.0","2","&"
"2029","2005","","1","Fresh, Grocery, Available, Beer"
"1813","2003","16.0","1",""
"1178","1998","8.0","1","Fresh, Grocery, CafePizza, Available, Beer"
"2403","2008","","2","&"
"79","1979","10.0","0","Fresh, Grocery, Beer, Available, Starbucks, Wine"
"221","1985","11.0","2",""
"224","1985","18.0","3","CVS, pharmacy, Fresh, Grocery, Beer, Available, Wine"
"831","1992","8.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"2457","2008","13.0","1",""
"164","1982","18.0","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk, Beer, Available, Starbucks, Wine"
"2190","2006","11.0","2",""
"1751","1996","16.0","2","&"
"1752","1996","12.0","2","&"
"2123","2006","","1","Available, Beer"
"768","1999","21.0","3","Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"2150","2006","","1","Mobile, Kiosk, Fresh, Grocery, Available, Beer"
"2641","2010","","1","Available, Beer"
"2609","2012","","1",""
"1750","1996","","2","Starbucks, &"
"1755","1997","12.0","2","&"
"1753","1997","8.0","1","CafePizza"
"2249","2007","14.0","1","Mobile, Kiosk, Available, Beer"
"1955","2005","14.0","1","Available, Beer"
"2045","2006","14.0","1","Available, Beer"
"1956","2005","14.0","1","Available, Beer"
"1916","2004","14.0","1","Available, Beer"
"2361","2008","14.0","1","Available, Beer"
"2156","2006","14.0","1","Fresh, Grocery, Available, Beer"
"1528","2004","14.0","0","Beer, Available, Starbucks, Wine"
"1373","2001","14.0","1","Starbucks, Available, Beer"
"2434","2008","14.0","1","Available, Beer"
"1802","2003","14.0","1","Starbucks, Available, Beer"
"1289","2000","14.0","1","Starbucks, Available, Beer"
"1544","2004","15.0","1","Available, Beer"
"1191","1999","9.0","0","Wine"
"2305","2007","14.0","1","Available, Beer"
"1954","2005","13.0","0","Fresh, Grocery, Wine"
"1818","2003","15.0","1","CafePizza"
"1948","2005","15.0","1",""
"1108","1998","9.0","0","Wine"
"1387","2002","","3","Fresh, Grocery, Wine"
"2844","2013","","1",""
"2847","2014","","1",""
"2102","2006","14.0","1",""
"1358","2003","14.0","1","Starbucks"
"1249","2000","14.0","3","Beer, Available, Wine"
"2213","2006","14.0","1","Fresh, Grocery, Available, Beer"
"1148","1999","16.0","1",""
"1866","2004","7.0","1",""
"1885","2004","15.0","0","Wine"
"3259","2017","","1","CVS, pharmacy, Starbucks, CafePizza"
"1856","2004","13.0","3","Wine"
"1264","2000","9.0","0","Wine"
"1267","2000","14.0","1","Starbucks, Available, Beer"
"1147","1998","15.0","0","Wine"
"1083","1998","14.0","0","Wine"
"1887","2004","14.0","0","Wine"
"1139","1998","7.0","0","Wine"
"1255","2001","14.0","3","Beer, Available, Wine"
"1808","2003","7.0","0","Wine"
"2076","2006","13.0","1",""
"3235","2016","","1","Fresh, Grocery, CafePizza, Available, Beer"
"2811","2014","","1",""
"3236","2016","","1","CVS, pharmacy, CafePizza"
"1798","2004","7.0","0","Wine"
"3237","2016","","1","CafePizza"
"1150","1998","8.0","0","Wine"
"2024","2005","13.0","1",""
"2451","2010","","0","Wine"
"2475","2009","14.0","0","Wine"
"2840","2012","13.0","1",""
"2433","2009","","1","Mobile, Kiosk, Available, Beer"
"2380","2010","","0","CVS, pharmacy, Wine"
"1330","2001","14.0","1","Available, Beer"
"3230","2016","","1","Starbucks, CafePizza"
"1344","2001","7.0","0","Wine"
"2381","2009","14.0","0","Beer, Available, Wine"
"1263","2000","15.0","0","Beer, Available, Wine"
"1232","1999","12.0","1","Available, Beer"
"1865","2004","14.0","1","Available, Beer"
"3277","2017","","0","Starbucks, Wine"
"1401","2002","8.0","0","Wine"
"1318","2001","13.0","1","CafePizza"
"3229","2016","","0","Starbucks, Wine"
"2850","2017","","0","Fresh, Grocery, Wine"
"1849","2004","7.0","0","Fresh, Grocery, Wine"
"1886","2004","15.0","0","Beer, Available, Wine"
"1822","2003","15.0","0","Beer, Available, Starbucks, Wine"
"2212","2008","9.0","0","Wine"
"1296","2001","13.0","3","Wine"
"3276","2017","","1","CVS, pharmacy, Starbucks, CafePizza"
"2247","2007","14.0","1","Available, Beer"
"1175","2000","15.0","1","Available, Beer"
"2432","2008","11.0","1","Fresh, Grocery, Available, Beer"
"1839","2003","13.0","1","Starbucks, Available, Beer"
"3290","2018","","1","CafePizza, Available, Beer"
"2141","2008","14.0","0","Beer, Available, Wine"
"1491","2002","15.0","1","Starbucks, Available, Beer"
"2753","2013","","1",""
"1084","1997","14.0","1","Starbucks, Mobile, Kiosk, Available, Beer"
"1315","2001","14.0","1","Starbucks, Available, Beer"
"2127","2006","11.0","1","Available, Beer"
"1467","2002","13.0","1","CafePizza, Available, Beer"
"2006","2006","14.0","1",""
"1864","2004","7.0","1","Available, Beer"
"1192","1999","15.0","3","Beer, Available, Wine"
"1155","2001","14.0","3","Beer, Available, Wine"
"1055","1997","7.0","0","Beer, Available, Wine"
"1188","1999","14.0","3","Beer, Available, Wine"
"2430","2008","15.0","1","Available, Beer"
"1404","2002","14.0","1","CafePizza, Available, Beer"
"1835","2003","14.0","1","Starbucks, Available, Beer"
"1929","2006","14.0","1","Available, Beer"
"1378","2002","7.0","1","Available, Beer"
"2073","2005","14.0","1","Fresh, Grocery, Available, Beer"
"1348","2001","14.0","1","CafePizza, Available, Beer"
"1224","1999","7.0","1","Available, Beer"
"1152","1998","14.0","3","Beer, Available, Wine"
"1796","2003","14.0","1","Starbucks"
"1374","2001","14.0","3","Beer, Available, Wine"
"2446","2008","14.0","1","Available, Beer"
"1184","2001","15.0","3","Beer, Available, Wine"
"2853","2014","","1","Available, Beer"
"1496","2002","14.0","1","CafePizza, Available, Beer"
"1190","1999","14.0","3","Beer, Available, Wine"
"1281","2000","14.0","1","CafePizza, Available, Beer"
"2607","2011","","1","Available, Beer"
"1268","2000","14.0","1","CafePizza"
"2256","2007","14.0","1","Mobile, Kiosk, Available, Beer"
"1930","2005","14.0","1","Available, Beer"
"1823","2003","14.0","3","Beer, Available, Wine"
"1516","2003","14.0","1","Available, Beer"
"1915","2004","14.0","1",""
"1153","1998","14.0","1","Available, Beer"
"1345","2001","14.0","3","Beer, Available, Wine"
"2570","2011","","1","Available, Beer"
"1521","2003","14.0","1","Starbucks"
"1965","2005","14.0","1","Available, Beer"
"1308","2001","8.0","0","Beer, Available, Wine"
"2167","2006","14.0","1","Available, Beer"
"1154","1999","15.0","3","Beer, Available, Wine"
"1189","1999","14.0","1","CafePizza, Available, Beer"
"1151","1999","16.0","3","Beer, Available, Wine"
"2267","2007","14.0","1","Available, Beer"
"1477","2002","14.0","1","CafePizza"
"2805","2012","","1",""
"1260","2000","14.0","3","Beer, Available, Wine"
"2649","2015","","1","Available, Beer"
"2120","2006","13.0","1",""
"1464","2002","14.0","1","CafePizza, Available, Beer"
"2258","2008","14.0","1","Available, Beer"
"3223","2018","","1","Starbucks, CafePizza, Available, Beer"
"1442","2002","16.0","0","Beer, Available, Wine"
"2693","2010","","0","Beer, Available, Wine"
"3226","2016","","1","CVS, pharmacy, Starbucks, CafePizza, Available, Beer"
"2173","2006","14.0","1","Fresh, Grocery, Available, Beer"
"2822","2015","","0",""
"2536","2009","","1","Available, Beer"
"3222","2017","","1","CVS, pharmacy, Starbucks, CafePizza, Available, Beer"
"1898","2004","14.0","0","Beer, Available, Wine"
"1135","1998","16.0","0","Beer, Available, Wine"
"2292","2007","14.0","1","Available, Beer"
"1441","2002","13.0","0","Fresh, Grocery, Beer, Available, Wine"
"2461","2008","13.0","1",""
"1271","2000","14.0","3","Wine"
"1228","1999","14.0","1","Starbucks"
"1229","2000","8.0","0",""
"2480","2009","","1","Available, Beer"
"2532","2009","","0","Beer, Available, Wine"
"1532","2003","14.0","1","Starbucks"
"1158","1998","16.0","3","Beer, Available, Wine"
"1266","2000","8.0","0","Beer, Available, Wine"
"3253","2017","","1","CafePizza, Available, Beer"
"1183","1999","16.0","3","Beer, Available, Wine"
"1495","2002","9.0","3","Fresh, Grocery, Beer, Available, Wine"
"1942","2005","7.0","0","Beer, Available, Wine"
"2392","2008","14.0","1","Available, Beer"
"2729","2014","","0",""
"1290","2000","8.0","1","CafePizza, Available, Beer"
"2399","2009","","1","Available, Beer"
"1196","1999","8.0","0","Beer, Available, Wine"
"1809","2003","16.0","1","Available, Beer"
"1474","2002","14.0","3","Beer, Available, Wine"
"2246","2007","16.0","1","Available, Beer"
"2104","2006","16.0","0","Mobile, Kiosk, Beer, Available, Wine"
"1917","2004","16.0","0","Beer, Available, Wine"
"1256","2001","16.0","1","Available, Beer"
"1803","2003","","1","Starbucks, Mobile, Kiosk, Fresh, Grocery, Available, Beer"
"1186","1999","13.0","1","Fresh, Grocery, CafePizza"
"2418","2009","16.0","1","Available, Beer"
"1159","1999","8.0","0","Beer, Available, Wine"
"2009","2005","14.0","1",""
"2287","2007","14.0","1","Mobile, Kiosk, Available, Beer"
"1510","2003","14.0","1","Available, Beer"
"1187","1999","16.0","0","Beer, Available, Wine"
"2527","2009","","1","Available, Beer"
"2608","2016","","0","Beer, Available, Wine"
"1830","2005","14.0","1",""
"1365","2002","7.0","1","CafePizza, Available, Beer"
"2075","2005","16.0","1","Available, Beer"
"1085","1997","16.0","1","Available, Beer"
"2325","2007","14.0","1","Available, Beer"
"1133","1998","16.0","3","Beer, Available, Wine"
"1520","2003","14.0","1","Starbucks"
"1845","2003","14.0","1","Starbucks, Available, Beer"
"3247","2017","","1","CafePizza, Available, Beer"
"1269","2000","16.0","1","Available, Beer"
"2124","2007","8.0","1","CafePizza, Available, Beer"
"3227","2017","","1","CafePizza, Available, Beer"
"3212","2016","","1","CafePizza, Available, Beer"
"3206","2016","","1","CVS, pharmacy, Starbucks, CafePizza, Available, Beer"
"1443","2002","8.0","1","CafePizza, Available, Beer"
"2596","2014","","1","Available, Beer"
"1389","2001","16.0","3","Beer, Available, Wine"
"2131","2006","16.0","1","Available, Beer"
"2181","2006","16.0","1","Available, Beer"
"1291","2002","7.0","1","CafePizza, Available, Beer"
"1132","1998","16.0","1","Available, Beer"
"1227","1999","14.0","3",""
"2384","2008","16.0","1","Available, Beer"
"2548","2009","","1","Mobile, Kiosk, Available, Beer"
"1136","1998","16.0","1","Starbucks, Available, Beer"
"1109","1997","16.0","3","Beer, Available, Wine"
"2312","2009","","1","Available, Beer"
"2537","2010","","1","Available, Beer"
"1056","1997","14.0","1",""
"1134","1998","16.0","3","Beer, Available, Wine"
"2529","2009","","1","Mobile, Kiosk, Available, Beer"
"2496","2009","16.0","0","Beer, Available, Wine"
"2302","2008","14.0","1","Available, Beer"
"2172","2007","16.0","0","Beer, Available, Wine"
"2530","2009","","1",""
"1492","2002","13.0","3","Wine"
"1146","1998","16.0","1","Available, Beer"
"1222","2000","16.0","1","Starbucks, Available, Beer"
"2170","2006","","1","Fresh, Grocery, Available, Beer"
"2182","2006","16.0","1",""
"2764","2010","","1","Available, Beer"
"2072","2005","14.0","1","Available, Beer"
"2545","2011","","1","Available, Beer"
"1476","2002","13.0","3","Wine"
"2867","2018","","1","CafePizza, Available, Beer"
"1508","2002","13.0","1","CafePizza"
"2437","2008","13.0","1","Available, Beer"
"2166","2006","","1","Mobile, Kiosk, Fresh, Grocery"
"1312","2001","13.0","3","Beer, Available, Wine"
"2439","2008","13.0","1","Mobile, Kiosk, Available, Beer"
"2324","2007","13.0","1",""
"2295","2007","","1","Fresh, Grocery"
"2158","2006","13.0","1",""
"1043","1997","15.0","3","Mobile, Kiosk, Beer, Available, Wine"
"1475","2002","13.0","3","Wine"
"1254","2000","14.0","3","Beer, Available, Wine"
"2186","2006","14.0","1","Available, Beer"
"1338","2001","13.0","3",""
"1221","1999","14.0","3","Beer, Available, Wine"
"1002","1996","15.0","3","Beer, Available, Wine"
"1871","2004","","1","Fresh, Grocery, Available, Beer"
"1875","2004","14.0","1","Available, Beer"
"2202","2007","14.0","1","Available, Beer"
"1001","1996","16.0","1","Available, Beer"
"1970","2005","15.0","1","Available, Beer"
"2099","2006","14.0","3","Beer, Available, Wine"
"1265","2000","16.0","1","CafePizza, Available, Beer"
"1142","1998","13.0","3","Beer, Available, Wine"
"2567","2011","","3","Beer, Available, Wine"
"2845","2013","","1","Available, Beer"
"2459","2008","13.0","3","Wine"
"2253","2007","12.0","3","Wine"
"1541","2003","15.0","1","CafePizza, Available, Beer"
"1045","1996","15.0","3","Beer, Available, Wine"
"1000","1996","11.0","3","Fresh, Grocery, Beer, Available, Wine"
"2130","2006","13.0","1",""
"2315","2008","","1","Fresh, Grocery, Available, Beer"
"1156","1998","13.0","3","Wine"
"1195","1999","13.0","1","CafePizza"
"2038","2005","13.0","1",""
"2211","2006","13.0","1",""
"1157","1998","13.0","3","Wine"
"1194","1999","13.0","3","Wine"
"2528","2009","","1","Mobile, Kiosk"
"1938","2004","15.0","3","Beer, Available, Wine"
"1003","1996","15.0","1","Available, Beer"
"2310","2008","13.0","1","Available, Beer"
"2271","2008","15.0","1","Available, Beer"
"1042","1996","15.0","3","Beer, Available, Wine"
"1044","1996","14.0","3","Beer, Available, Wine"
"2631","2012","","3","Beer, Available, Wine"
"1007","1996","15.0","1","Available, Beer"
"1004","1996","7.0","1","Available, Beer"
"2007","2006","15.0","1","Available, Beer"
"1295","2000","15.0","1","CafePizza, Available, Beer"
"1138","1998","16.0","1","Available, Beer"
"1006","1996","15.0","1","Available, Beer"
"1233","1999","","3","Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"3211","2015","","1","Starbucks, CafePizza, Available, Beer"
"1890","2004","15.0","1","Available, Beer"
"1415","2002","15.0","1","CafePizza, Available, Beer"
"1897","2004","15.0","1","Available, Beer"
"1854","2005","14.0","1","Starbucks, Available, Beer"
"2259","2008","9.0","1",""
"1046","1996","7.0","1","Available, Beer"
"3242","2017","","1","CafePizza, Available, Beer"
"1193","1999","9.0","1","Available, Beer"
"3210","2015","","1","CafePizza"
"1137","1998","15.0","3","Beer, Available, Wine"
"1076","1997","9.0","3",""
"2394","2008","15.0","1","Available, Beer"
"1893","2004","8.0","1",""
"1431","2002","9.0","1",""
"3295","2018","","1","Starbucks, CafePizza"
"1533","2003","15.0","1","Starbucks"
"1008","1996","15.0","1","Available, Beer"
"2790","2012","","1",""
"2241","2007","13.0","3","Beer, Available, Wine"
"1416","2002","15.0","1","CafePizza"
"1009","1996","7.0","1",""
"1088","1997","15.0","1",""
"2272","2007","15.0","1",""
"1258","2000","8.0","1","CafePizza, Available, Beer"
"2133","2007","15.0","1","Available, Beer"
"1874","2004","","2",""
"1005","1997","15.0","1","Starbucks"
"1341","2001","15.0","1","Starbucks"
"1257","2000","15.0","3","Beer, Available, Wine"
"1827","2003","15.0","1","Starbucks"
"759","1996","15.0","1",""
"2017","2005","15.0","1",""
"2323","2008","","2",""
"1873","2004","7.0","2",""
"2538","2009","","1","Mobile, Kiosk"
"1857","2004","15.0","3",""
"3234","2016","","1","CafePizza, Available, Beer"
"1288","2000","8.0","1","Fresh, Grocery, CafePizza, Available, Beer"
"2379","2008","14.0","1","Mobile, Kiosk"
"2175","2007","14.0","3","Mobile, Kiosk"
"1234","1999","15.0","3",""
"772","1996","13.0","3","Fresh, Grocery"
"2138","2006","","2",""
"2297","2007","14.0","1","Mobile, Kiosk"
"1160","1998","","3","CVS, pharmacy, Fresh, Grocery, Beer, Available, Wine"
"2250","2007","14.0","1","Mobile, Kiosk"
"1019","1996","18.0","1","Fresh, Grocery"
"1968","2005","13.0","1","Mobile, Kiosk"
"2337","2007","13.0","1","Mobile, Kiosk"
"2296","2008","14.0","1","Mobile, Kiosk"
"2436","2008","","1","Fresh, Grocery"
"1049","1997","13.0","1",""
"1018","1997","13.0","1",""
"1161","1998","14.0","3",""
"1931","2005","","1","Mobile, Kiosk, Fresh, Grocery"
"1103","1997","14.0","1",""
"1041","1997","13.0","1","Fresh, Grocery"
"1858","2005","13.0","1","Fresh, Grocery"
"2501","2009","16.0","1",""
"2478","2009","","1","Mobile, Kiosk, Fresh, Grocery"
"1017","1996","13.0","1",""
"1225","1999","13.0","3","Mobile, Kiosk"
"2071","2005","13.0","1",""
"1047","1998","14.0","1",""
"1048","1996","14.0","1",""
"2770","2012","","1",""
"1105","1997","14.0","3",""
"2396","2008","14.0","1","Mobile, Kiosk"
"1420","2002","14.0","3",""
"1021","1996","14.0","1",""
"1016","1996","13.0","3",""
"2203","2006","14.0","1",""
"2294","2007","","1","Fresh, Grocery"
"1275","2000","13.0","3",""
"962","1995","19.0","3","Mobile, Kiosk, Fresh, Grocery"
"1022","1996","8.0","3","Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"2058","2005","14.0","1","Mobile, Kiosk"
"1294","2002","13.0","2",""
"2364","2008","","2",""
"2062","2005","14.0","2",""
"919","1994","14.0","3","Mobile, Kiosk"
"2489","2009","","3","Mobile, Kiosk"
"874","1993","15.0","2",""
"688","1992","20.0","2","Fresh, Grocery"
"1966","2005","","2",""
"1519","2003","","2",""
"845","1993","15.0","2","Mobile, Kiosk, Starbucks"
"1795","2003","","2",""
"647","1991","15.0","3",""
"2264","2007","","2",""
"898","1994","15.0","2",""
"897","1994","15.0","2",""
"649","1991","15.0","2","Starbucks"
"2032","2005","15.0","2",""
"1967","2004","15.0","2",""
"1518","2003","9.0","2",""
"2376","2008","","2",""
"2118","2007","","2",""
"1382","2002","","2",""
"2370","2009","","2",""
"650","1991","18.0","3","Mobile, Kiosk, Fresh, Grocery"
"1760","1999","16.0","2",""
"655","1991","7.0","2",""
"1790","2001","8.0","2",""
"1918","2004","","2",""
"656","1991","13.0","2","CVS, pharmacy, Mobile, Kiosk, Starbucks"
"2366","2008","15.0","2",""
"652","1991","14.0","2",""
"1859","2004","13.0","2","Mobile, Kiosk"
"798","1996","14.0","2","Mobile, Kiosk"
"2289","2007","","2",""
"2040","2005","15.0","1",""
"1820","2003","7.0","2",""
"1299","2000","13.0","2","Starbucks"
"812","1992","15.0","2",""
"1051","1996","15.0","2","Starbucks"
"2235","2007","","2",""
"2269","2007","13.0","2",""
"654","1991","15.0","2","Starbucks"
"1131","1999","15.0","3",""
"2064","2005","15.0","2",""
"1023","1996","15.0","2",""
"1053","1996","13.0","2",""
"1934","2004","","2",""
"689","1992","21.0","2","Fresh, Grocery, Mobile, Kiosk"
"817","1992","18.0","1","Starbucks, Mobile, Kiosk, Fresh, Grocery"
"2547","2009","","2","Mobile, Kiosk"
"2034","2006","","2",""
"799","1997","13.0","2",""
"665","1991","21.0","3","Mobile, Kiosk, Fresh, Grocery"
"813","1992","18.0","3","Mobile, Kiosk, Fresh, Grocery"
"690","1992","21.0","2","Fresh, Grocery, Mobile, Kiosk"
"1050","1996","13.0","2",""
"2248","2007","","2","Fresh, Grocery, Mobile, Kiosk"
"2316","2007","","2",""
"816","1992","13.0","2",""
"1454","2002","13.0","2",""
"2369","2008","","1","Mobile, Kiosk, Fresh, Grocery"
"818","1993","20.0","2",""
"2363","2008","","2",""
"2059","2005","","2",""
"2317","2008","","2",""
"2063","2007","","2",""
"899","1994","13.0","2",""
"1935","2004","21.0","2",""
"1941","2005","15.0","2",""
"2065","2006","","2",""
"2427","2009","16.0","2",""
"1110","1998","15.0","2",""
"2067","2006","","2",""
"2210","2007","7.0","2",""
"638","1991","15.0","2","Mobile, Kiosk, Starbucks"
"2265","2007","15.0","2","Mobile, Kiosk"
"642","1991","15.0","2","Starbucks"
"2146","2008","17.0","2",""
"815","1992","20.0","2",""
"2092","2008","","2",""
"1480","2003","15.0","2","Starbucks"
"1337","2001","15.0","2",""
"1512","2003","","2",""
"920","1994","15.0","2",""
"2022","2005","","2",""
"1163","1999","16.0","2",""
"2196","2008","15.0","1",""
"877","1993","15.0","2","Starbucks"
"2109","2007","15.0","2",""
"1074","1998","8.0","2",""
"2848","2014","","2",""
"746","1996","15.0","2",""
"1038","1996","15.0","2",""
"968","1995","15.0","1",""
"2188","2006","9.0","0",""
"1039","1996","9.0","0",""
"2843","2013","","2",""
"1075","1997","15.0","2","Mobile, Kiosk, Starbucks"
"1391","2002","13.0","2",""
"1529","2003","13.0","2","Starbucks"
"1829","2003","13.0","2",""
"1493","2003","13.0","2",""
"1923","2004","12.0","1",""
"2565","2011","14.0","1",""
"1319","2001","12.0","3",""
"1371","2001","14.0","3",""
"2132","2006","","2",""
"1181","1999","13.0","3",""
"762","1995","14.0","1","Mobile, Kiosk"
"2308","2007","","1","Mobile, Kiosk, Fresh, Grocery"
"1087","1997","14.0","1",""
"2090","2006","13.0","1","Fresh, Grocery"
"2244","2007","14.0","1",""
"2080","2008","","2",""
"2395","2008","14.0","1",""
"966","1995","14.0","1",""
"918","1994","14.0","1",""
"1081","1997","14.0","3",""
"1793","2003","19.0","1","Starbucks, Mobile, Kiosk, Fresh, Grocery"
"1505","2003","","2",""
"2074","2005","14.0","3","Mobile, Kiosk"
"2169","2006","19.0","2",""
"1452","2002","13.0","3",""
"2742","2012","","2",""
"963","1995","13.0","2",""
"1086","1998","13.0","3",""
"1077","1997","13.0","1","CafePizza"
"2134","2006","","1","Fresh, Grocery"
"1079","1997","8.0","3","Mobile, Kiosk, Fresh, Grocery"
"1078","1997","13.0","3",""
"2108","2006","13.0","1",""
"1180","1999","13.0","3",""
"2037","2005","13.0","1",""
"755","1995","14.0","1",""
"1292","2000","13.0","1","Mobile, Kiosk, CafePizza"
"3241","2017","","1","Fresh, Grocery, CafePizza"
"1107","1998","14.0","3",""
"2785","2013","","1",""
"2682","2011","","0",""
"2412","2009","13.0","0",""
"2660","2015","","0",""
"2697","2015","","0",""
"2870","2017","","0",""
"2410","2009","13.0","0",""
"2411","2009","13.0","0",""
"2526","2009","","0","Mobile, Kiosk"
"804","1992","29.0","2",""
"1792","2001","24.0","2",""
"1170","1999","14.0","0",""
"878","1993","13.0","3",""
"1767","2000","","2",""
"1939","2004","13.0","0",""
"2041","2005","13.0","0",""
"1791","2001","7.0","2",""
"1768","2002","23.0","2",""
"69","1978","13.0","0",""
"1771","2000","9.0","2",""
"803","1992","8.0","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk, Beer, Available, Wine"
"1901","2004","","2",""
"2321","2007","","2","&"
"1113","1998","14.0","3",""
"1068","1997","12.0","1","Mobile, Kiosk, Fresh, Grocery, CafePizza"
"1351","2001","13.0","2","&"
"663","1991","13.0","1","Starbucks, Available, Beer"
"86","1980","13.0","3",""
"1096","1997","19.0","1","Fresh, Grocery, Available, Beer"
"1211","2000","13.0","1","CafePizza, Available, Beer"
"620","1990","13.0","3",""
"1522","2003","19.0","1","Fresh, Grocery, CafePizza, Available, Beer"
"1484","2002","","2","&"
"2390","2008","","2","&"
"643","1990","23.0","2","&"
"2340","2007","18.0","2","&"
"1833","2003","7.0","2","&"
"360","1989","15.0","2","Beer, Available, Starbucks, &"
"533","1996","11.0","2",""
"1272","2000","15.0","2","Beer, Available, Starbucks, &"
"662","1991","15.0","2","Beer, Available, &"
"2519","2012","","2","Beer, Available, &"
"926","1995","13.0","1","Available, Beer"
"1352","2001","9.0","2",""
"5","1965","15.0","2","Beer, Available, &"
"220","1984","15.0","2","Beer, Available, Starbucks, &"
"2313","2007","18.0","2","Beer, Available"
"2300","2007","","2","&"
"2046","2005","20.0","2","&"
"862","1993","7.0","2","Beer, Available, &"
"2449","2008","15.0","2","Beer, Available, &"
"3204","2015","","1","Starbucks, CafePizza, Available, Beer"
"694","1992","15.0","2","Beer, Available, &"
"2406","2011","7.0","2","Beer, Available, &"
"1356","2001","10.0","2","&"
"260","1987","8.0","2","Beer, Available, &"
"68","1978","15.0","2","Beer, Available, &"
"860","1993","17.0","0","CVS, pharmacy, Fresh, Grocery"
"2189","2006","19.0","2",""
"52","1976","15.0","2","Beer, Available, &"
"2229","2007","8.0","2",""
"3239","2017","","1","CafePizza, Available, Beer"
"1235","1999","15.0","3","Beer, Available, Wine"
"1375","2001","8.0","0",""
"3200","2014","","0","Starbucks, Wine"
"100","1981","17.0","2","Beer, Available, &"
"2135","2006","15.0","2","Beer, Available, &"
"1095","1997","15.0","2","Beer, Available, &"
"2101","2005","9.0","2","&"
"1185","1999","15.0","2","Beer, Available, Starbucks, &"
"931","1994","15.0","2","Beer, Available, &"
"664","1991","14.0","2",""
"751","1997","15.0","2","Beer, Available, &"
"619","1991","13.0","2",""
"3","1962","15.0","2","Beer, Available, &"
"1774","2000","9.0","2",""
"2200","2006","19.0","2","&"
"2223","2006","16.0","2","Beer, Available, &"
"240","1986","15.0","2","Beer, Available, Starbucks, &"
"1210","1999","21.0","3","Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"693","1992","15.0","2","Beer, Available, &"
"820","1992","15.0","2","Beer, Available, Mobile, Kiosk, &"
"2193","2007","18.0","2",""
"1832","2003","13.0","2","&"
"1448","2002","7.0","2",""
"1831","2003","","2","&"
"1144","1998","15.0","2","Beer, Available, &"
"2025","2005","13.0","2","Fresh, Grocery, Beer, Available, &"
"1456","2002","","2","&"
"861","1993","15.0","2","Beer, Available, &"
"891","1994","","3","Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"1060","1997","15.0","3",""
"2106","2007","","2",""
"1244","2000","15.0","3","Beer, Available, Wine"
"2765","2011","","3",""
"2456","2008","17.0","2",""
"2180","2007","","2","&"
"1069","1997","15.0","3",""
"2491","2009","","3","Beer, Available, Wine"
"2540","2009","","1",""
"661","1991","19.0","3","Fresh, Grocery, Beer, Available, Wine"
"76","1979","14.0","1","Starbucks"
"805","1992","17.0","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk"
"1303","2000","14.0","2","Beer, Available, Starbucks, &"
"1799","2003","14.0","0","Starbucks"
"809","1992","13.0","3","Beer, Available, Wine"
"810","1992","14.0","3",""
"930","1994","15.0","3","Beer, Available, Wine"
"215","1985","15.0","3","Beer, Available, Wine"
"806","1992","21.0","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk, Beer, Available, Starbucks, Wine"
"871","1993","14.0","1","Available, Beer"
"929","1994","19.0","3","Fresh, Grocery"
"2824","2013","","0",""
"2559","2009","16.0","1","Mobile, Kiosk, Available, Beer"
"364","1989","13.0","0","Starbucks"
"2348","2007","","0","Fresh, Grocery, Mobile, Kiosk"
"864","1993","14.0","3",""
"1801","2003","","2",""
"808","1992","19.0","3","Fresh, Grocery"
"807","1992","13.0","3",""
"1166","1999","16.0","3",""
"2546","2009","","1","Mobile, Kiosk, Available, Beer"
"834","1993","21.0","3","Mobile, Kiosk, Fresh, Grocery"
"2378","2008","","2",""
"1896","2004","","2",""
"2177","2006","15.0","1","Available, Beer"
"839","1993","15.0","0",""
"82","1979","14.0","1","CafePizza, Available, Beer"
"1323","2002","","2",""
"2122","2006","15.0","0","Mobile, Kiosk"
"1402","2002","15.0","3","Mobile, Kiosk"
"1311","2000","14.0","1","CafePizza, Available, Beer"
"670","1991","13.0","0",""
"137","1982","13.0","3","CVS, pharmacy"
"1951","2005","","1","Fresh, Grocery, Available, Beer"
"1881","2004","15.0","0",""
"943","1995","14.0","3","Beer, Available, Wine"
"1403","2002","15.0","3","Beer, Available, Wine"
"894","1995","15.0","3",""
"840","1993","21.0","2",""
"1903","2004","","2",""
"867","1993","7.0","0","Beer, Available, Wine"
"838","1993","15.0","0",""
"1950","2005","","2",""
"835","1993","19.0","2",""
"1213","2000","15.0","0",""
"866","1993","15.0","0",""
"836","1993","21.0","2",""
"2028","2005","15.0","0",""
"1024","1996","15.0","0",""
"895","1994","13.0","3",""
"1882","2004","15.0","0",""
